Topic:,Problem: ,Link :,Index
Binary Trees,Preorder Traversal of a tree both using recursion and Iteration,https://www.techiedelight.com/preorder-tree-traversal-iterative-recursive/,6
Binary Trees,Postorder Traversal of a tree both using recursion and Iteration,https://www.techiedelight.com/postorder-tree-traversal-iterative-recursive/,7
Binary Trees,Left View of a tree,https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1,8
Binary Trees,Right View of Tree,https://practice.geeksforgeeks.org/problems/right-view-of-binary-tree/1,9
Binary Trees,Top View of a tree,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1,10
Binary Trees,Bottom View of a tree,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1,11
Binary Trees,Zig-Zag traversal of a binary tree,https://practice.geeksforgeeks.org/problems/zigzag-tree-traversal/1,12
Binary Trees,Check if a tree is balanced or not,https://practice.geeksforgeeks.org/problems/check-for-balanced-tree/1,13
Binary Trees,Diagnol Traversal of a Binary tree,https://www.geeksforgeeks.org/diagonal-traversal-of-binary-tree/,14
Binary Trees,Boundary traversal of a Binary tree,https://practice.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1,15
Binary Trees,Construct Binary Tree from String with Bracket Representation,https://www.geeksforgeeks.org/construct-binary-tree-string-bracket-representation/,16
Binary Trees,Convert Binary tree into Doubly Linked List,https://practice.geeksforgeeks.org/problems/binary-tree-to-dll/1,17
Binary Trees,Convert Binary tree into Sum tree,https://practice.geeksforgeeks.org/problems/transform-to-sum-tree/1,18
Binary Trees,Construct Binary tree from Inorder and preorder traversal,https://practice.geeksforgeeks.org/problems/construct-tree-1/1,19
Binary Trees,Find minimum swaps required to convert a Binary tree into BST,https://www.geeksforgeeks.org/minimum-swap-required-convert-binary-tree-binary-search-tree/,20
Binary Trees,Check if Binary tree is Sum tree or not,https://practice.geeksforgeeks.org/problems/sum-tree/1,21
Binary Trees,Check if all leaf nodes are at same level or not,https://practice.geeksforgeeks.org/problems/leaf-at-same-level/1,22
Binary Trees,Check if a Binary Tree contains duplicate subtrees of size 2 or more [ IMP ],https://practice.geeksforgeeks.org/problems/duplicate-subtree-in-binary-tree/1,23
Binary Trees,Check if 2 trees are mirror or not,https://practice.geeksforgeeks.org/problems/check-mirror-in-n-ary-tree/0,24
Binary Trees,Sum of Nodes on the Longest path from root to leaf node ,https://practice.geeksforgeeks.org/problems/sum-of-the-longest-bloodline-of-a-tree/1,25
Binary Trees,Check if given graph is tree or not.  [ IMP ],https://www.geeksforgeeks.org/check-given-graph-tree/,26
Binary Trees,Find Largest subtree sum in a tree,https://www.geeksforgeeks.org/find-largest-subtree-sum-tree/,27
Binary Trees,Maximum Sum of nodes in Binary tree such that no two are adjacent ,https://www.geeksforgeeks.org/maximum-sum-nodes-binary-tree-no-two-adjacent/,28
Binary Trees,"Print all ""K"" Sum paths in a Binary tree",https://www.geeksforgeeks.org/print-k-sum-paths-binary-tree/,29
Binary Trees,Find LCA in a Binary tree,https://practice.geeksforgeeks.org/problems/lowest-common-ancestor-in-a-binary-tree/1,30
Binary Trees,Find distance between 2 nodes in a Binary tree,https://practice.geeksforgeeks.org/problems/min-distance-between-two-given-nodes-of-a-binary-tree/1,31
